LocationType,Location,TimeFrame,DataFormat,Data
County,Blount,2016,Currency,39226.00
County,Blount,2017,Currency,41224.00
County,Blount,2018,Currency,42991.00
County,Blount,2021,Currency,52596.00
County,Blount,2019,Currency,45860.00
County,Blount,2020,Currency,49002.00
County,Bradley,1997,Currency,22078.00
County,Bradley,1998,Currency,22766.00
County,Bradley,1999,Currency,23642.00
County,Bradley,2000,Currency,24243.00
County,Bradley,2001,Currency,25243.00
County,Bradley,2002,Currency,25733.00
County,Bradley,2003,Currency,25955.00
County,Bradley,2004,Currency,27232.00
County,Bradley,2005,Currency,28400.00
County,Bradley,2006,Currency,28280.00
County,Bradley,2007,Currency,29380.00
County,Bradley,2008,Currency,30464.00
County,Bradley,2009,Currency,30335.00
County,Bradley,2010,Currency,30030.00
County,Bradley,2011,Currency,32357.72
County,Bradley,2012,Currency,33957.90
County,Bradley,2013,Currency,35791.00
County,Bradley,2014,Currency,39715.00
County,Bradley,2015,Currency,37216.00
County,Bradley,2016,Currency,37941.00
County,Bradley,2017,Currency,38766.00
County,Bradley,2018,Currency,39099.00
County,Bradley,2021,Currency,46409.00
County,Bradley,2019,Currency,40228.00
County,Bradley,2020,Currency,43319.00
County,Campbell,1997,Currency,15451.00
County,Campbell,1998,Currency,16070.00
County,Campbell,1999,Currency,16427.00
County,Campbell,2000,Currency,17182.00
County,Campbell,2001,Currency,17653.00
County,Campbell,2002,Currency,20409.00
County,Campbell,2003,Currency,20575.00
County,Campbell,2004,Currency,21825.00
County,Campbell,2005,Currency,23179.00
County,Campbell,2006,Currency,23356.00
County,Campbell,2007,Currency,24706.00
County,Campbell,2008,Currency,26223.00
County,Campbell,2009,Currency,26174.00
County,Campbell,2010,Currency,27236.00
County,Campbell,2011,Currency,28242.47
County,Campbell,2012,Currency,29538.10
County,Campbell,2013,Currency,30734.00
County,Campbell,2014,Currency,30473.00
County,Campbell,2015,Currency,30981.00
County,Campbell,2016,Currency,32077.00
County,Campbell,2017,Currency,33042.00
County,Campbell,2018,Currency,33967.00
County,Campbell,2021,Currency,42471.00
County,Campbell,2019,Currency,35824.00
County,Campbell,2020,Currency,38706.00
County,Cannon,1997,Currency,18373.00
County,Cannon,1998,Currency,19336.00
County,Cannon,1999,Currency,20452.00
County,Cannon,2000,Currency,21590.00
County,Cannon,2001,Currency,22190.00
County,Cannon,2002,Currency,23924.00
County,Cannon,2003,Currency,25242.00
County,Cannon,2004,Currency,25176.00
County,Cannon,2005,Currency,26465.00
County,Cannon,2006,Currency,27596.00
County,Cannon,2007,Currency,27942.00
County,Cannon,2008,Currency,29411.00
County,Cannon,2009,Currency,28708.00
County,Cannon,2010,Currency,29927.00
County,Cannon,2011,Currency,30053.05
County,Cannon,2012,Currency,31584.06
County,Cannon,2013,Currency,32501.00
County,Cannon,2014,Currency,34218.00
County,Cannon,2015,Currency,33416.00
County,Cannon,2016,Currency,33597.00
County,Cannon,2017,Currency,35489.00
County,Cannon,2018,Currency,36113.00
County,Cannon,2021,Currency,44419.00
County,Cannon,2019,Currency,37663.00
County,Cannon,2020,Currency,40263.00
County,Carroll,1997,Currency,19229.00
County,Carroll,1998,Currency,19923.00
County,Carroll,1999,Currency,20283.00
County,Carroll,2000,Currency,21658.00
County,Carroll,2001,Currency,21038.00
County,Carroll,2002,Currency,22231.00
County,Carroll,2003,Currency,22542.00
County,Carroll,2004,Currency,22430.00
County,Carroll,2005,Currency,24187.00
County,Carroll,2006,Currency,25466.00
County,Carroll,2007,Currency,25825.00
County,Carroll,2008,Currency,28902.00
County,Carroll,2009,Currency,28216.00
County,Carroll,2010,Currency,29227.00
County,Carroll,2011,Currency,31753.99
County,Carroll,2012,Currency,33257.05
County,Carroll,2013,Currency,33856.00
County,Carroll,2014,Currency,33184.00
County,Carroll,2015,Currency,34865.00
County,Carroll,2016,Currency,35275.00
County,Carroll,2017,Currency,35572.00
County,Carroll,2018,Currency,35900.00
County,Carroll,2021,Currency,40502.00
County,Carroll,2019,Currency,36312.00
County,Carroll,2020,Currency,37686.00
County,Carter,1997,Currency,16189.00
County,Carter,1998,Currency,16868.00
County,Carter,1999,Currency,17439.00
County,Carter,2000,Currency,18199.00
County,Carter,2001,Currency,19017.00
County,Carter,2002,Currency,20233.00
County,Carter,2003,Currency,19980.00
County,Carter,2004,Currency,21235.00
County,Carter,2005,Currency,22021.00
County,Carter,2006,Currency,22703.00
County,Carter,2007,Currency,23987.00
County,Carter,2008,Currency,26119.00
County,Carter,2009,Currency,25640.00
County,Carter,2010,Currency,27108.00
County,Carter,2011,Currency,29180.91
County,Carter,2012,Currency,30023.89
County,Carter,2013,Currency,30544.00
County,Carter,2014,Currency,30588.00
County,Carter,2015,Currency,31407.00
County,Carter,2016,Currency,31973.00
County,Carter,2017,Currency,33506.00
County,Carter,2018,Currency,34579.00
County,Carter,2021,Currency,40739.00
County,Carter,2019,Currency,35153.00
County,Carter,2020,Currency,37632.00
County,Cheatham,1997,Currency,20294.00
County,Cheatham,1998,Currency,21602.00
County,Cheatham,1999,Currency,22660.00
County,Cheatham,2000,Currency,23934.00
County,Cheatham,2001,Currency,24752.00
County,Cheatham,2002,Currency,25956.00
County,Cheatham,2003,Currency,27401.00
County,Cheatham,2004,Currency,28154.00
County,Cheatham,2005,Currency,29466.00
County,Cheatham,2006,Currency,30884.00
County,Cheatham,2007,Currency,31870.00
County,Cheatham,2008,Currency,32577.00
County,Cheatham,2009,Currency,31498.00
County,Cheatham,2010,Currency,30950.00
County,Cheatham,2011,Currency,33363.33
County,Cheatham,2012,Currency,35387.99
County,Cheatham,2013,Currency,35594.00
County,Cheatham,2014,Currency,37122.00
County,Cheatham,2015,Currency,38177.00
County,Cheatham,2016,Currency,39469.00
County,Cheatham,2017,Currency,42250.00
County,Cheatham,2018,Currency,43932.00
County,Cheatham,2021,Currency,54069.00
County,Cheatham,2019,Currency,47099.00
County,Cheatham,2020,Currency,49389.00
County,Chester,1997,Currency,16317.00
County,Chester,1998,Currency,17122.00
County,Chester,1999,Currency,17923.00
County,Chester,2000,Currency,19107.00
County,Chester,2001,Currency,19664.00
County,Chester,2002,Currency,21366.00
County,Chester,2003,Currency,21691.00
County,Chester,2004,Currency,21746.00
County,Chester,2005,Currency,22849.00
County,Chester,2006,Currency,23700.00
County,Chester,2007,Currency,24580.00
County,Chester,2008,Currency,26796.00
County,Chester,2009,Currency,26442.00
County,Chester,2010,Currency,26679.00
County,Chester,2011,Currency,29289.06
County,Chester,2012,Currency,30623.72
County,Chester,2013,Currency,31718.00
County,Chester,2014,Currency,29417.00
County,Chester,2015,Currency,29701.00
County,Chester,2016,Currency,30506.00
County,Chester,2017,Currency,33194.00
County,Chester,2018,Currency,33642.00
County,Chester,2021,Currency,41568.00
County,Chester,2019,Currency,35315.00
County,Chester,2020,Currency,39057.00
County,Claiborne,1997,Currency,16989.00
County,Claiborne,1998,Currency,17441.00
County,Claiborne,1999,Currency,18489.00
County,Claiborne,2000,Currency,19171.00
County,Claiborne,2001,Currency,19754.00
County,Claiborne,2002,Currency,21082.00
County,Claiborne,2003,Currency,20520.00
County,Claiborne,2004,Currency,22103.00
County,Claiborne,2005,Currency,23218.00
County,Claiborne,2006,Currency,23949.00
County,Claiborne,2007,Currency,24534.00
County,Claiborne,2008,Currency,26336.00
County,Claiborne,2009,Currency,27092.00
County,Claiborne,2010,Currency,26810.00
County,Claiborne,2011,Currency,28265.13
County,Claiborne,2012,Currency,29594.33
County,Claiborne,2013,Currency,29883.00
County,Claiborne,2014,Currency,29879.00
County,Claiborne,2015,Currency,31161.00
County,Claiborne,2016,Currency,32048.00
County,Claiborne,2017,Currency,34635.00
County,Claiborne,2018,Currency,35384.00
County,Claiborne,2021,Currency,42542.00
County,Claiborne,2019,Currency,36464.00
County,Claiborne,2020,Currency,39045.00
County,Clay,1997,Currency,15175.00
County,Clay,1998,Currency,15831.00
County,Clay,1999,Currency,16281.00
County,Clay,2000,Currency,17756.00
County,Clay,2001,Currency,18181.00
County,Clay,2002,Currency,20220.00
County,Clay,2003,Currency,19511.00
County,Clay,2004,Currency,20412.00
County,Clay,2005,Currency,20622.00
County,Clay,2006,Currency,21825.00
County,Clay,2007,Currency,22273.00
County,Clay,2008,Currency,23808.00
County,Clay,2009,Currency,23272.00
County,Clay,2010,Currency,25449.00
County,Clay,2011,Currency,29184.96
County,Clay,2012,Currency,30230.08
County,Clay,2013,Currency,30476.00
County,Clay,2014,Currency,34471.00
County,Clay,2015,Currency,31431.00
County,Clay,2016,Currency,31434.00
County,Clay,2017,Currency,31134.00
County,Clay,2018,Currency,31013.00
County,Clay,2021,Currency,40338.00
County,Clay,2019,Currency,32550.00
County,Clay,2020,Currency,34540.00
County,Cocke,1997,Currency,15926.00
County,Cocke,1998,Currency,16784.00
County,Cocke,1999,Currency,17562.00
County,Cocke,2000,Currency,18255.00
County,Cocke,2001,Currency,18208.00
County,Cocke,2002,Currency,18777.00
County,Cocke,2003,Currency,18718.00
County,Cocke,2004,Currency,19116.00
County,Cocke,2005,Currency,19870.00
County,Cocke,2006,Currency,20629.00
County,Cocke,2007,Currency,21414.00
County,Cocke,2008,Currency,22961.00
County,Cocke,2009,Currency,23602.00
County,Cocke,2010,Currency,24742.00
County,Cocke,2011,Currency,25653.23
County,Cocke,2012,Currency,26728.71
County,Cocke,2013,Currency,27508.00
County,Cocke,2014,Currency,28236.00
County,Cocke,2015,Currency,29206.00
County,Cocke,2016,Currency,29976.00
County,Cocke,2017,Currency,31362.00
County,Cocke,2018,Currency,31942.00
County,Cocke,2021,Currency,40384.00
County,Cocke,2019,Currency,33984.00
County,Cocke,2020,Currency,37322.00
County,Coffee,1997,Currency,20848.00
County,Coffee,1998,Currency,21707.00
County,Coffee,1999,Currency,22178.00
County,Coffee,2000,Currency,23268.00
County,Coffee,2001,Currency,23516.00
County,Coffee,2002,Currency,24780.00
County,Coffee,2003,Currency,27033.00
County,Coffee,2004,Currency,27776.00
County,Coffee,2005,Currency,28716.00
County,Coffee,2006,Currency,29337.00
County,Coffee,2007,Currency,29697.00
County,Coffee,2008,Currency,31828.00
County,Coffee,2009,Currency,31918.00
County,Coffee,2010,Currency,31913.00
County,Coffee,2011,Currency,34596.25
County,Coffee,2012,Currency,36400.60
County,Coffee,2013,Currency,37260.00
County,Coffee,2014,Currency,37295.00
County,Coffee,2015,Currency,36679.00
County,Coffee,2016,Currency,37307.00
County,Coffee,2017,Currency,38205.00
County,Coffee,2018,Currency,38656.00
County,Coffee,2021,Currency,46299.00
County,Coffee,2019,Currency,41181.00
County,Coffee,2020,Currency,43805.00
County,Crockett,1997,Currency,19743.00
County,Crockett,1998,Currency,20154.00
County,Crockett,1999,Currency,21059.00
County,Crockett,2000,Currency,22043.00
County,Crockett,2001,Currency,21601.00
County,Crockett,2002,Currency,22613.00
County,Crockett,2003,Currency,23912.00
County,Crockett,2004,Currency,23085.00
